Titre,Meta,Slug,Groupe,combined_text,similar_titles
Créer un statut de micro-entreprise,Les étapes légales et obligations pour lancer une micro-entreprise en toute conformité,creer-statut-micro-entreprise,Legal,Créer un statut de micro-entreprise. Les étapes légales et obligations pour lancer une micro-entreprise en toute conformité,"['Sécuriser un paiement en ligne : obligations légales', 'Bien choisir son statut juridique pour se lancer', 'Miser sur le marketing d’influence', 'Gérer les congés et absences en PME', 'Préparer une levée de fonds en capital-risque']"
Améliorer le SEO local : astuces et outils,Optimiser sa visibilité dans les recherches géolocalisées pour attirer plus de clients,ameliorer-seo-local-astuces,SEO,Améliorer le SEO local : astuces et outils. Optimiser sa visibilité dans les recherches géolocalisées pour attirer plus de clients,"['Décoder les Google Updates : comment s’adapter ?', 'Concevoir un site e-commerce : UX et SEO', 'Faire un audit SEO technique : checklist', 'Elaborer une stratégie SEA multicompte', 'Optimiser ses balises Title et Meta Description']"
Gérer la motivation des équipes à distance,Techniques de management pour garder un esprit d’équipe malgré la distance,gerer-motivation-equipes-distance,Management,Gérer la motivation des équipes à distance. Techniques de management pour garder un esprit d’équipe malgré la distance,"['Donner du sens à son travail : techniques de motivation', 'Mettre en place la comptabilité analytique', 'Définir les rôles et responsabilités en management', 'Gérer les congés et absences en PME', 'Passer de manager à leader : le changement de posture']"
Structurer sa campagne SEA : mots-clés et enchères,Sélectionner les bons mots-clés et fixer une stratégie d’enchères adaptée à son budget,structurer-campagne-sea,SEA,Structurer sa campagne SEA : mots-clés et enchères. Sélectionner les bons mots-clés et fixer une stratégie d’enchères adaptée à son budget,"['Gérer un budget SEA de grande envergure', 'Mettre en place une veille concurrentielle SEO', 'Utiliser Google Ads : premiers pas', 'Gérer ses performances financières mensuelles', 'Elaborer une stratégie SEA multicompte']"
Développer un logo impactant : principes de base,"Typographie, couleurs et formes pour marquer durablement l’esprit des clients",developper-logo-impactant,Design,"Développer un logo impactant : principes de base. Typographie, couleurs et formes pour marquer durablement l’esprit des clients","['Fidéliser grâce à un branding cohérent', 'Miser sur le marketing d’influence', 'Préparer une levée de fonds en capital-risque', 'Mettre en place le SSO (Single Sign-On)', 'Techniques de link-building avancées']"
Mettre en place la comptabilité analytique,Suivre précisément les coûts et la rentabilité par produit ou service,mettre-place-comptabilite-analytique,Finance,Mettre en place la comptabilité analytique. Suivre précisément les coûts et la rentabilité par produit ou service,"['Faire une veille concurrentielle sur les réseaux sociaux', 'Améliorer la rentabilité : marge et coûts variables', 'Gérer ses performances financières mensuelles', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Organiser une campagne de crowdfunding : étapes clés']"
Utiliser Google Ads : premiers pas,"Créer un compte, sélectionner les mots-clés et paramétrer une campagne de base",utiliser-google-ads-premiers-pas,SEA,"Utiliser Google Ads : premiers pas. Créer un compte, sélectionner les mots-clés et paramétrer une campagne de base","['Elaborer une stratégie SEA multicompte', 'Cas pratique : migrer son site vers un nouveau CMS', 'Structurer sa campagne SEA : mots-clés et enchères', 'Concevoir un site e-commerce : UX et SEO', 'Mettre en place la comptabilité analytique']"
Lancer un blog professionnel : aspects légaux,"Mentions obligatoires, RGPD et droits d’auteur à respecter",lancer-blog-professionnel-legal,Legal,"Lancer un blog professionnel : aspects légaux. Mentions obligatoires, RGPD et droits d’auteur à respecter","['Booster sa créativité au quotidien', 'Créer une newsletter interne pour ses employés', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Mettre en place la comptabilité analytique', 'Créer des visuels percutants pour les réseaux sociaux']"
Concevoir une UI minimaliste et ergonomique,Focus sur le design épuré pour améliorer l’expérience utilisateur,concevoir-ui-minimaliste-ergonomique,Design,Concevoir une UI minimaliste et ergonomique. Focus sur le design épuré pour améliorer l’expérience utilisateur,"['Créer un design system : pourquoi et comment', 'Animer un brainstorming productif', 'Gérer la motivation des équipes à distance', 'Booster sa créativité au quotidien', 'Développer un logo impactant : principes de base']"
Gérer ses performances financières mensuelles,Mise en place de tableaux de bord et indicateurs clés de trésorerie,gerer-performances-financieres-mensuelles,Finance,Gérer ses performances financières mensuelles. Mise en place de tableaux de bord et indicateurs clés de trésorerie,"['Trouver des financements publics : subventions et prêts', 'Gérer un budget SEA de grande envergure', 'Préparer une levée de fonds en capital-risque', 'Mettre en place la comptabilité analytique', 'Structurer sa campagne SEA : mots-clés et enchères']"
